family_id,family_name,layer_status,benchmark_group,requires_notice,requires_structured_notice,requires_tz,requires_contract,requires_application,requires_guarantee,requires_protocol,requires_external_knowledge,minimum_runtime_bundle,benchmark_eligible_if,service_behavior_if_missing,notes
cluster_10,Неправомерное объединение в один лот товаров с разным статусом по ПП №1875,conditional_benchmarkable,object_description,yes,no,yes,no,no,no,no,no,notice+tz,lot-composition evidence is explicit in notice/TZ and does not rely on post-hoc adjudication notes,needs_expert_review,Object-description lane is TZ-first; notice is secondary unless the family explicitly depends on notice-side coding or contradiction evidence.
cluster_11,Неправомерное объединение медицинских изделий разных видов НКМИ в один лот,benchmarkable,object_description,yes,no,yes,no,no,no,no,no,notice+tz,lot-composition evidence is explicit in notice/TZ and does not rely on post-hoc adjudication notes,needs_expert_review,Object-description lane is TZ-first; notice is secondary unless the family explicitly depends on notice-side coding or contradiction evidence.
cluster_12,Необоснованные жалобы на объединение товаров с разными ОКПД2,benchmarkable,object_description,yes,no,yes,no,no,no,no,no,notice+tz,lot-composition evidence is explicit in notice/TZ and does not rely on post-hoc adjudication notes,needs_expert_review,Object-description lane is TZ-first; notice is secondary unless the family explicitly depends on notice-side coding or contradiction evidence.
cluster_13,Неправильный выбор кода ОКПД2 для картриджей в извещении,conditional_benchmarkable,object_description,yes,yes,no,no,no,no,no,yes,notice+structured_notice,OKPD2 coding evidence is explicit in the notice-side materials; regulatory-history debt remains explicit if needed,needs_expert_review,Object-description lane is TZ-first; notice is secondary unless the family explicitly depends on notice-side coding or contradiction evidence.
cluster_14,Требование оригинальных картриджей без допуска эквивалентов,service_only,object_description,no,no,yes,no,no,no,no,yes,tz,TZ is parsed and contains explicit object-description evidence; notice is added only where code/classification or contradiction evidence depends on it,needs_expert_review,Object-description lane is TZ-first; notice is secondary unless the family explicitly depends on notice-side coding or contradiction evidence.
cluster_15,Указание товарного знака без слов «или эквивалент» в описании закупки,benchmarkable,object_description,no,no,yes,no,no,no,no,no,tz,TZ is parsed and contains explicit object-description evidence; notice is added only where code/classification or contradiction evidence depends on it,needs_expert_review,Object-description lane is TZ-first; notice is secondary unless the family explicitly depends on notice-side coding or contradiction evidence.
cluster_16,Необоснованные жалобы на указание товарного знака в описании закупки,conditional_benchmarkable,object_description,no,no,yes,no,no,no,no,yes,tz,TZ is parsed and contains explicit object-description evidence; notice is added only where code/classification or contradiction evidence depends on it,needs_expert_review,Object-description lane is TZ-first; notice is secondary unless the family explicitly depends on notice-side coding or contradiction evidence.
cluster_17,Нарушения требований к регистрационным удостоверениям медицинских изделий в заявке,conditional_benchmarkable,participant_requirements_doc,yes,no,yes,no,yes,no,no,yes,tz,all family-specific participant-evidence documents are locally available and parsed; otherwise the family stays deferred or review-only,needs_expert_review,"Participant-requirements lane is document-first; application/protocol dependencies are tracked family-by-family, not assumed globally."
cluster_18,"Нарушения требований к извещению, документации и процедуре определения поставщика",conditional_benchmarkable,defer,no,no,no,no,no,no,no,no,needs_centralized_decision,defer until family is split or centrally assigned to a supported benchmark group,insufficient_or_deferred_scope,Family is outside the frozen core quartet or still spans multiple groups. Broad mixed family spanning notice/document/procedure issues; left outside the core quartet pending centralized split decision. Stage A intentionally does not assign a narrower supported lane here.
cluster_19,Предельные значения показателей опыта в критериях оценки заявок,conditional_benchmarkable,participant_requirements_doc,yes,no,yes,no,no,no,no,yes,notice+tz,participant-facing requirement is explicit in procurement docs; application/protocol/guarantee become mandatory only for deferred or commission-style families,needs_expert_review,"Participant-requirements lane is document-first; application/protocol dependencies are tracked family-by-family, not assumed globally."
cluster_20,Жалобы на обоснование НМЦК вне компетенции ФАС,conditional_benchmarkable,defer,no,no,no,no,no,no,no,no,needs_centralized_decision,defer until family is split or centrally assigned to a supported benchmark group,insufficient_or_deferred_scope,"Family is outside the frozen core quartet or still spans multiple groups. FAS-competence family, not a stable procurement-document benchmark lane. Stage A intentionally does not assign a narrower supported lane here."
cluster_21,Жалобы на отсутствие ТЗ в ЕИС — нарушение не установлено,benchmarkable,notice_content,yes,yes,no,no,no,no,no,no,notice+structured_notice,"printed/structured notice is available and parsed; if the family is cross-document, contradiction evidence must be preserved too",unsupported_notice_mode_then_review,"For notice_content, structured fields or printed notice are mandatory for the supported lane. Supported lane still requires printed/structured notice evidence even when the claim is about missing TZ in EIS."
cluster_22,Требования к характеристикам медицинских перчаток сверх ГОСТ,service_only,object_description,no,no,yes,no,no,no,no,yes,tz,TZ is parsed and contains explicit object-description evidence; notice is added only where code/classification or contradiction evidence depends on it,needs_expert_review,Object-description lane is TZ-first; notice is secondary unless the family explicitly depends on notice-side coding or contradiction evidence.
cluster_23,Описание закупки не обязано соответствовать реестру радиоэлектронной продукции,conditional_benchmarkable,defer,no,no,no,no,no,no,no,yes,needs_centralized_decision,defer until family is split or centrally assigned to a supported benchmark group,insufficient_or_deferred_scope,Family is outside the frozen core quartet or still spans multiple groups. Stage A intentionally does not assign a narrower supported lane here.
cluster_24,Неприменение преимущества ЕАЭС-производства лекарств при оценке заявок,service_only,defer,no,no,no,no,no,no,no,yes,needs_centralized_decision,defer until family is split or centrally assigned to a supported benchmark group,insufficient_or_deferred_scope,Family is outside the frozen core quartet or still spans multiple groups. Stage A intentionally does not assign a narrower supported lane here.
cluster_25,Нарушения при оценке заявок по подтверждению происхождения товара (ПП 1875),conditional_benchmarkable,participant_requirements_doc,yes,no,yes,no,yes,no,yes,no,tz,all family-specific participant-evidence documents are locally available and parsed; otherwise the family stays deferred or review-only,needs_expert_review,"Participant-requirements lane is document-first; application/protocol dependencies are tracked family-by-family, not assumed globally. Commission/application evidence dependency is explicit; do not auto-promote from document-only coverage. Commission/application evidence family; not auto-promoted without stable application/protocol coverage."
cluster_26,Отклонение заявки за недостоверные сведения о товарном знаке,conditional_benchmarkable,participant_requirements_doc,yes,no,yes,no,yes,no,yes,yes,tz,all family-specific participant-evidence documents are locally available and parsed; otherwise the family stays deferred or review-only,needs_expert_review,"Participant-requirements lane is document-first; application/protocol dependencies are tracked family-by-family, not assumed globally. Commission/application evidence dependency is explicit; do not auto-promote from document-only coverage. Commission/application evidence family; not auto-promoted without stable application/protocol coverage."
cluster_27,Отсутствие декларации и уведомления Минпромторг об отсутствии товара в реестре российской промышленной продукции,conditional_benchmarkable,participant_requirements_doc,yes,no,yes,no,yes,no,no,no,tz,all family-specific participant-evidence documents are locally available and parsed; otherwise the family stays deferred or review-only,needs_expert_review,"Participant-requirements lane is document-first; application/protocol dependencies are tracked family-by-family, not assumed globally."
cluster_28,Описание объекта закупки ограничивает конкуренцию под единственного производителя,service_only,object_description,no,no,yes,no,no,no,no,yes,tz,TZ is parsed and contains explicit object-description evidence; notice is added only where code/classification or contradiction evidence depends on it,needs_expert_review,Object-description lane is TZ-first; notice is secondary unless the family explicitly depends on notice-side coding or contradiction evidence.
cluster_29,Требование совместимости с имеющимся оборудованием в описании закупки,conditional_benchmarkable,object_description,no,no,yes,no,no,no,no,yes,tz,TZ is parsed and contains explicit object-description evidence; notice is added only where code/classification or contradiction evidence depends on it,needs_expert_review,Object-description lane is TZ-first; notice is secondary unless the family explicitly depends on notice-side coding or contradiction evidence.
cluster_30,Применение ограничений национального режима по ПП 1875,conditional_benchmarkable,defer,no,no,no,no,no,no,no,yes,needs_centralized_decision,defer until family is split or centrally assigned to a supported benchmark group,insufficient_or_deferred_scope,Family is outside the frozen core quartet or still spans multiple groups. Stage A intentionally does not assign a narrower supported lane here.
cluster_31,Неверное применение национального режима по ПП №1875 (ограничение vs преимущество),conditional_benchmarkable,defer,no,no,no,no,no,no,no,no,needs_centralized_decision,defer until family is split or centrally assigned to a supported benchmark group,insufficient_or_deferred_scope,Family is outside the frozen core quartet or still spans multiple groups. Stage A intentionally does not assign a narrower supported lane here.
cluster_32,Отклонение заявки за несоответствие опыта требованиям ПП 2571,service_only,participant_requirements_doc,no,no,yes,no,yes,no,yes,yes,tz,all family-specific participant-evidence documents are locally available and parsed; otherwise the family stays deferred or review-only,needs_expert_review,"Participant-requirements lane is document-first; application/protocol dependencies are tracked family-by-family, not assumed globally. Commission/application evidence dependency is explicit; do not auto-promote from document-only coverage."
cluster_33,Дополнительные характеристики товара сверх позиции КТРУ,conditional_benchmarkable,object_description,yes,no,yes,no,no,no,no,no,notice+tz,"additional-characteristic evidence is explicit in TZ/notice; any later KTRU dependency must use a frozen snapshot, not ad-hoc lookup",needs_expert_review,Object-description lane is TZ-first; notice is secondary unless the family explicitly depends on notice-side coding or contradiction evidence. Later DESC-CATALOG-like lanes may additionally require frozen KTRU snapshots; Stage A records only the document-side rule.
cluster_34,Нарушение порядка установления дополнительных требований по ПП №2571,conditional_benchmarkable,participant_requirements_doc,yes,no,yes,no,no,no,no,yes,notice+tz,participant-facing requirement is explicit in procurement docs; application/protocol/guarantee become mandatory only for deferred or commission-style families,needs_expert_review,"Participant-requirements lane is document-first; application/protocol dependencies are tracked family-by-family, not assumed globally. Later REQ-QUAL-like lanes may require frozen PP2571 alignment; Stage A keeps this as downstream governance debt."
cluster_35,Нарушение требований ПП 2571 о дополнительных требованиях к опыту участников,benchmarkable,participant_requirements_doc,yes,no,yes,no,no,no,no,no,notice+tz,participant-facing requirement is explicit in procurement docs; application/protocol/guarantee become mandatory only for deferred or commission-style families,needs_expert_review,"Participant-requirements lane is document-first; application/protocol dependencies are tracked family-by-family, not assumed globally. Later REQ-QUAL-like lanes may require frozen PP2571 alignment; Stage A keeps this as downstream governance debt."
cluster_36,Несоответствие перечня сопоставимых работ предмету контракта в критериях оценки,conditional_benchmarkable,participant_requirements_doc,yes,no,yes,no,no,no,no,yes,notice+tz,participant-facing requirement is explicit in procurement docs; application/protocol/guarantee become mandatory only for deferred or commission-style families,needs_expert_review,"Participant-requirements lane is document-first; application/protocol dependencies are tracked family-by-family, not assumed globally."
cluster_37,Ограничение оценки опыта контрактами по 44-ФЗ и 223-ФЗ,conditional_benchmarkable,participant_requirements_doc,yes,no,yes,no,no,no,no,no,notice+tz,participant-facing requirement is explicit in procurement docs; application/protocol/guarantee become mandatory only for deferred or commission-style families,needs_expert_review,"Participant-requirements lane is document-first; application/protocol dependencies are tracked family-by-family, not assumed globally."
cluster_38,Сроки исполнения и действия контракта в извещении и проекте контракта,benchmarkable,contract_terms,yes,no,no,yes,no,no,no,no,notice+contract,core contract-term evidence is locatable in the notice or contract draft without relying on downstream adjudication artifacts,needs_expert_review,Contract-terms lane is notice/contract first; TZ may help but is not the canonical minimum in Stage A governance.
cluster_39,Включение требований к квалификации и ресурсам участника в описание объекта закупки,benchmarkable,participant_requirements_doc,no,no,yes,no,no,no,no,no,tz,participant-facing requirement is explicit in procurement docs; application/protocol/guarantee become mandatory only for deferred or commission-style families,needs_expert_review,"Participant-requirements lane is document-first; application/protocol dependencies are tracked family-by-family, not assumed globally."
cluster_40,Ненадлежащая инструкция по заполнению заявки участниками,benchmarkable,participant_requirements_doc,yes,no,yes,no,no,no,no,no,notice+tz,participant-facing requirement is explicit in procurement docs; application/protocol/guarantee become mandatory only for deferred or commission-style families,needs_expert_review,"Participant-requirements lane is document-first; application/protocol dependencies are tracked family-by-family, not assumed globally."
cluster_41,Неправомерные решения комиссии о соответствии заявок требованиям извещения,benchmarkable,participant_requirements_doc,yes,no,yes,no,yes,no,yes,no,tz,all family-specific participant-evidence documents are locally available and parsed; otherwise the family stays deferred or review-only,deferred_review_only,"Participant-requirements lane is document-first; application/protocol dependencies are tracked family-by-family, not assumed globally. Commission/application evidence dependency is explicit; do not auto-promote from document-only coverage. Explicit v7.1 deferred benchmarkable family; application/protocol dependency keeps it out of main benchmark until readiness is proven."
cluster_42,Отсутствие сроков и порядка приёмки в извещении о закупке,benchmarkable,contract_terms,yes,no,no,yes,no,no,no,no,notice+contract,core contract-term evidence is locatable in the notice or contract draft without relying on downstream adjudication artifacts,needs_expert_review,Contract-terms lane is notice/contract first; TZ may help but is not the canonical minimum in Stage A governance.
cluster_43,Нарушения в содержании проекта контракта и извещения,conditional_benchmarkable,contract_terms,yes,no,no,yes,no,no,no,no,notice+contract,core contract-term evidence is locatable in the notice or contract draft without relying on downstream adjudication artifacts,needs_expert_review,"Contract-terms lane is notice/contract first; TZ may help but is not the canonical minimum in Stage A governance. Crosses notice and contract-draft content; grouped under contract_terms for audit convenience, not as a promotion decision."
cluster_44,Нарушения требований к содержанию извещения и составу заявки,conditional_benchmarkable,notice_content,yes,yes,no,no,no,no,no,no,notice+structured_notice,"printed/structured notice is available and parsed; if the family is cross-document, contradiction evidence must be preserved too",unsupported_notice_mode_then_review,"For notice_content, structured fields or printed notice are mandatory for the supported lane. Notice-content grouping is provisional because the family also touches application composition; treat as centralized-decision-sensitive if later promoted."
cluster_45,Отсутствие обоснования дополнительных характеристик в описании закупки,conditional_benchmarkable,object_description,no,no,yes,no,no,no,no,yes,tz,TZ is parsed and contains explicit object-description evidence; notice is added only where code/classification or contradiction evidence depends on it,needs_expert_review,Object-description lane is TZ-first; notice is secondary unless the family explicitly depends on notice-side coding or contradiction evidence.
cluster_46,Субъективный порядок оценки качественных характеристик объекта закупки,conditional_benchmarkable,object_description,no,no,yes,no,no,no,no,no,tz,TZ is parsed and contains explicit object-description evidence; notice is added only where code/classification or contradiction evidence depends on it,needs_expert_review,Object-description lane is TZ-first; notice is secondary unless the family explicitly depends on notice-side coding or contradiction evidence.
cluster_47,Необоснованное присвоение нулевых баллов по критерию производственного контроля,conditional_benchmarkable,participant_requirements_doc,yes,no,yes,no,yes,no,yes,yes,tz,all family-specific participant-evidence documents are locally available and parsed; otherwise the family stays deferred or review-only,needs_expert_review,"Participant-requirements lane is document-first; application/protocol dependencies are tracked family-by-family, not assumed globally. Commission/application evidence dependency is explicit; do not auto-promote from document-only coverage."
cluster_48,Ненадлежащее описание объекта закупки: отсутствие реквизитов и ссылки на недействующие НПА,conditional_benchmarkable,object_description,no,no,yes,no,no,no,no,yes,tz,TZ is parsed and contains explicit object-description evidence; notice is added only where code/classification or contradiction evidence depends on it,needs_expert_review,Object-description lane is TZ-first; notice is secondary unless the family explicitly depends on notice-side coding or contradiction evidence.
cluster_49,Оспаривание оценки квалификации участника по критерию опыта работы,conditional_benchmarkable,participant_requirements_doc,yes,no,yes,no,yes,no,yes,no,tz,all family-specific participant-evidence documents are locally available and parsed; otherwise the family stays deferred or review-only,needs_expert_review,"Participant-requirements lane is document-first; application/protocol dependencies are tracked family-by-family, not assumed globally. Commission/application evidence dependency is explicit; do not auto-promote from document-only coverage."
cluster_50,Неправомерное отклонение заявки по дополнительным требованиям опыта (Постановление №2571),conditional_benchmarkable,participant_requirements_doc,no,no,yes,no,yes,no,yes,yes,tz,all family-specific participant-evidence documents are locally available and parsed; otherwise the family stays deferred or review-only,needs_expert_review,"Participant-requirements lane is document-first; application/protocol dependencies are tracked family-by-family, not assumed globally. Commission/application evidence dependency is explicit; do not auto-promote from document-only coverage. Commission/application evidence family; not auto-promoted without stable application/protocol coverage."
cluster_51,Технические ошибки и противоречия в описании характеристик товара,service_only,object_description,no,no,yes,no,no,no,no,yes,tz,TZ is parsed and contains explicit object-description evidence; notice is added only where code/classification or contradiction evidence depends on it,needs_expert_review,Object-description lane is TZ-first; notice is secondary unless the family explicitly depends on notice-side coding or contradiction evidence.
cluster_52,Неполное описание объекта закупки: отсутствие объёмов и документации,benchmarkable,object_description,no,no,yes,no,no,no,no,no,tz,TZ is parsed and contains explicit object-description evidence; notice is added only where code/classification or contradiction evidence depends on it,needs_expert_review,Object-description lane is TZ-first; notice is secondary unless the family explicitly depends on notice-side coding or contradiction evidence.
cluster_53,Ненадлежащее описание объекта закупки: отсутствие характеристик товара,benchmarkable,object_description,no,no,yes,no,no,no,no,no,tz,TZ is parsed and contains explicit object-description evidence; notice is added only where code/classification or contradiction evidence depends on it,needs_expert_review,Object-description lane is TZ-first; notice is secondary unless the family explicitly depends on notice-side coding or contradiction evidence.
cluster_54,Несоответствие структурированной формы извещения ЕИС и технического задания,benchmarkable,notice_content,yes,yes,yes,no,no,no,no,no,notice+structured_notice+tz,contradiction between structured notice and attached object-description materials is explicit and preserved textually,unsupported_notice_mode_then_review,"For notice_content, structured fields or printed notice are mandatory for the supported lane. Notice-content supported lane requires structured notice plus TZ because this family is a cross-document contradiction case."
cluster_55,Противоречие между структурированной формой извещения и файлом описания объекта закупки,benchmarkable,notice_content,yes,yes,yes,no,no,no,no,no,notice+structured_notice+tz,contradiction between structured notice and attached object-description materials is explicit and preserved textually,unsupported_notice_mode_then_review,"For notice_content, structured fields or printed notice are mandatory for the supported lane. Notice-content supported lane requires structured notice plus TZ because this family is a cross-document contradiction case."
