family_id,family_name,layer_status,benchmark_group,main_benchmark_status,service_lane_policy,deferred_reason,source_refs
cluster_16,Необоснованные жалобы на указание товарного знака в описании закупки,conditional_benchmarkable,object_description,conditional-salvage,bounded-salvage-or-review,external_knowledge_required=market_knowledge,PROJECT_DESIGN_v7.md §3.3-3.5; runs/20260510T180119/benchmarkability/family_status_map.csv; runs/20260510T180119/naming/cluster_catalog_coarse.csv; cluster_id=16
cluster_17,Нарушения требований к регистрационным удостоверениям медицинских изделий в заявке,conditional_benchmarkable,participant_requirements_doc,conditional-salvage,bounded-salvage-or-review,runtime_doc_dependency=partial; needs regulatory-history workaround,PROJECT_DESIGN_v7.md §3.3-3.5; runs/20260510T180119/benchmarkability/family_status_map.csv; runs/20260510T180119/naming/cluster_catalog_coarse.csv; cluster_id=17
cluster_18,"Нарушения требований к извещению, документации и процедуре определения поставщика",conditional_benchmarkable,defer,conditional-salvage,bounded-salvage-or-review,family_qc=mixed_candidate,PROJECT_DESIGN_v7.md §3.3-3.5; runs/20260510T180119/benchmarkability/family_status_map.csv; runs/20260510T180119/naming/cluster_catalog_coarse.csv; cluster_id=18
cluster_19,Предельные значения показателей опыта в критериях оценки заявок,conditional_benchmarkable,participant_requirements_doc,conditional-salvage,bounded-salvage-or-review,external_knowledge_required=market_knowledge,PROJECT_DESIGN_v7.md §3.3-3.5; runs/20260510T180119/benchmarkability/family_status_map.csv; runs/20260510T180119/naming/cluster_catalog_coarse.csv; cluster_id=19
cluster_20,Жалобы на обоснование НМЦК вне компетенции ФАС,conditional_benchmarkable,defer,conditional-salvage,bounded-salvage-or-review,runtime_doc_dependency=partial; family_qc=mixed_candidate,PROJECT_DESIGN_v7.md §3.3-3.5; runs/20260510T180119/benchmarkability/family_status_map.csv; runs/20260510T180119/naming/cluster_catalog_coarse.csv; cluster_id=20
cluster_21,Жалобы на отсутствие ТЗ в ЕИС — нарушение не установлено,benchmarkable,notice_content,benchmarkable-ready,supported-lane-allowed,,PROJECT_DESIGN_v7.md §3.3-3.5; runs/20260510T180119/benchmarkability/family_status_map.csv; runs/20260510T180119/naming/cluster_catalog_coarse.csv; cluster_id=21
cluster_22,Требования к характеристикам медицинских перчаток сверх ГОСТ,service_only,object_description,service-only,service-review-only,external expert knowledge is the primary support for detection,PROJECT_DESIGN_v7.md §3.3-3.5; runs/20260510T180119/benchmarkability/family_status_map.csv; runs/20260510T180119/naming/cluster_catalog_coarse.csv; cluster_id=22
cluster_23,Описание закупки не обязано соответствовать реестру радиоэлектронной продукции,conditional_benchmarkable,defer,conditional-salvage,bounded-salvage-or-review,runtime_doc_dependency=partial; needs regulatory-history workaround; family_qc=mixed_candidate,PROJECT_DESIGN_v7.md §3.3-3.5; runs/20260510T180119/benchmarkability/family_status_map.csv; runs/20260510T180119/naming/cluster_catalog_coarse.csv; cluster_id=23
cluster_24,Неприменение преимущества ЕАЭС-производства лекарств при оценке заявок,service_only,defer,service-only,service-review-only,external expert knowledge is the primary support for detection,PROJECT_DESIGN_v7.md §3.3-3.5; runs/20260510T180119/benchmarkability/family_status_map.csv; runs/20260510T180119/naming/cluster_catalog_coarse.csv; cluster_id=24
cluster_25,Нарушения при оценке заявок по подтверждению происхождения товара (ПП 1875),conditional_benchmarkable,participant_requirements_doc,conditional-salvage,bounded-salvage-or-review,family_qc=mixed_candidate,PROJECT_DESIGN_v7.md §3.3-3.5; runs/20260510T180119/benchmarkability/family_status_map.csv; runs/20260510T180119/naming/cluster_catalog_coarse.csv; cluster_id=25
cluster_26,Отклонение заявки за недостоверные сведения о товарном знаке,conditional_benchmarkable,participant_requirements_doc,conditional-salvage,bounded-salvage-or-review,runtime_doc_dependency=partial; needs regulatory-history workaround,PROJECT_DESIGN_v7.md §3.3-3.5; runs/20260510T180119/benchmarkability/family_status_map.csv; runs/20260510T180119/naming/cluster_catalog_coarse.csv; cluster_id=26
cluster_27,Отсутствие декларации и уведомления Минпромторг об отсутствии товара в реестре российской промышленной продукции,conditional_benchmarkable,participant_requirements_doc,conditional-salvage,bounded-salvage-or-review,family_qc=mixed_candidate,PROJECT_DESIGN_v7.md §3.3-3.5; runs/20260510T180119/benchmarkability/family_status_map.csv; runs/20260510T180119/naming/cluster_catalog_coarse.csv; cluster_id=27
cluster_28,Описание объекта закупки ограничивает конкуренцию под единственного производителя,service_only,object_description,service-only,service-review-only,market knowledge is primary and runtime evidence is only partial,PROJECT_DESIGN_v7.md §3.3-3.5; runs/20260510T180119/benchmarkability/family_status_map.csv; runs/20260510T180119/naming/cluster_catalog_coarse.csv; cluster_id=28
cluster_29,Требование совместимости с имеющимся оборудованием в описании закупки,conditional_benchmarkable,object_description,conditional-salvage,bounded-salvage-or-review,external_knowledge_required=market_knowledge,PROJECT_DESIGN_v7.md §3.3-3.5; runs/20260510T180119/benchmarkability/family_status_map.csv; runs/20260510T180119/naming/cluster_catalog_coarse.csv; cluster_id=29
cluster_30,Применение ограничений национального режима по ПП 1875,conditional_benchmarkable,defer,conditional-salvage,bounded-salvage-or-review,needs regulatory-history workaround; family_qc=mixed_candidate,PROJECT_DESIGN_v7.md §3.3-3.5; runs/20260510T180119/benchmarkability/family_status_map.csv; runs/20260510T180119/naming/cluster_catalog_coarse.csv; cluster_id=30
cluster_31,Неверное применение национального режима по ПП №1875 (ограничение vs преимущество),conditional_benchmarkable,defer,conditional-salvage,bounded-salvage-or-review,runtime_doc_dependency=partial; family_qc=mixed_candidate,PROJECT_DESIGN_v7.md §3.3-3.5; runs/20260510T180119/benchmarkability/family_status_map.csv; runs/20260510T180119/naming/cluster_catalog_coarse.csv; cluster_id=31
cluster_32,Отклонение заявки за несоответствие опыта требованиям ПП 2571,service_only,participant_requirements_doc,service-only,service-review-only,external expert knowledge is the primary support for detection,PROJECT_DESIGN_v7.md §3.3-3.5; runs/20260510T180119/benchmarkability/family_status_map.csv; runs/20260510T180119/naming/cluster_catalog_coarse.csv; cluster_id=32
cluster_33,Дополнительные характеристики товара сверх позиции КТРУ,conditional_benchmarkable,object_description,conditional-salvage,bounded-salvage-or-review,family_qc=broad_candidate,PROJECT_DESIGN_v7.md §3.3-3.5; runs/20260510T180119/benchmarkability/family_status_map.csv; runs/20260510T180119/naming/cluster_catalog_coarse.csv; cluster_id=33
cluster_34,Нарушение порядка установления дополнительных требований по ПП №2571,conditional_benchmarkable,participant_requirements_doc,conditional-salvage,bounded-salvage-or-review,runtime_doc_dependency=partial; needs regulatory-history workaround,PROJECT_DESIGN_v7.md §3.3-3.5; runs/20260510T180119/benchmarkability/family_status_map.csv; runs/20260510T180119/naming/cluster_catalog_coarse.csv; cluster_id=34
cluster_35,Нарушение требований ПП 2571 о дополнительных требованиях к опыту участников,benchmarkable,participant_requirements_doc,benchmarkable-ready,supported-lane-allowed,,PROJECT_DESIGN_v7.md §3.3-3.5; runs/20260510T180119/benchmarkability/family_status_map.csv; runs/20260510T180119/naming/cluster_catalog_coarse.csv; cluster_id=35
cluster_36,Несоответствие перечня сопоставимых работ предмету контракта в критериях оценки,conditional_benchmarkable,participant_requirements_doc,conditional-salvage,bounded-salvage-or-review,runtime_doc_dependency=partial; needs regulatory-history workaround; family_qc=mixed_candidate,PROJECT_DESIGN_v7.md §3.3-3.5; runs/20260510T180119/benchmarkability/family_status_map.csv; runs/20260510T180119/naming/cluster_catalog_coarse.csv; cluster_id=36
cluster_37,Ограничение оценки опыта контрактами по 44-ФЗ и 223-ФЗ,conditional_benchmarkable,participant_requirements_doc,conditional-salvage,bounded-salvage-or-review,family_qc=mixed_candidate,PROJECT_DESIGN_v7.md §3.3-3.5; runs/20260510T180119/benchmarkability/family_status_map.csv; runs/20260510T180119/naming/cluster_catalog_coarse.csv; cluster_id=37
cluster_38,Сроки исполнения и действия контракта в извещении и проекте контракта,benchmarkable,contract_terms,benchmarkable-ready,supported-lane-allowed,,PROJECT_DESIGN_v7.md §3.3-3.5; runs/20260510T180119/benchmarkability/family_status_map.csv; runs/20260510T180119/naming/cluster_catalog_coarse.csv; cluster_id=38
cluster_39,Включение требований к квалификации и ресурсам участника в описание объекта закупки,benchmarkable,participant_requirements_doc,benchmarkable-ready,supported-lane-allowed,,PROJECT_DESIGN_v7.md §3.3-3.5; runs/20260510T180119/benchmarkability/family_status_map.csv; runs/20260510T180119/naming/cluster_catalog_coarse.csv; cluster_id=39
cluster_40,Ненадлежащая инструкция по заполнению заявки участниками,benchmarkable,participant_requirements_doc,benchmarkable-ready,supported-lane-allowed,,PROJECT_DESIGN_v7.md §3.3-3.5; runs/20260510T180119/benchmarkability/family_status_map.csv; runs/20260510T180119/naming/cluster_catalog_coarse.csv; cluster_id=40
cluster_41,Неправомерные решения комиссии о соответствии заявок требованиям извещения,benchmarkable,participant_requirements_doc,benchmarkable-deferred,deferred-review-only,explicit deferred benchmarkable family in v7.1; required non-core documents not yet proven at scale,PROJECT_DESIGN_v7.md §3.3-3.5; runs/20260510T180119/benchmarkability/family_status_map.csv; runs/20260510T180119/naming/cluster_catalog_coarse.csv; cluster_id=41
cluster_42,Отсутствие сроков и порядка приёмки в извещении о закупке,benchmarkable,contract_terms,benchmarkable-ready,supported-lane-allowed,,PROJECT_DESIGN_v7.md §3.3-3.5; runs/20260510T180119/benchmarkability/family_status_map.csv; runs/20260510T180119/naming/cluster_catalog_coarse.csv; cluster_id=42
cluster_43,Нарушения в содержании проекта контракта и извещения,conditional_benchmarkable,contract_terms,conditional-salvage,bounded-salvage-or-review,family size <20,PROJECT_DESIGN_v7.md §3.3-3.5; runs/20260510T180119/benchmarkability/family_status_map.csv; runs/20260510T180119/naming/cluster_catalog_coarse.csv; cluster_id=43
cluster_44,Нарушения требований к содержанию извещения и составу заявки,conditional_benchmarkable,notice_content,conditional-salvage,bounded-salvage-or-review,family size <20,PROJECT_DESIGN_v7.md §3.3-3.5; runs/20260510T180119/benchmarkability/family_status_map.csv; runs/20260510T180119/naming/cluster_catalog_coarse.csv; cluster_id=44
cluster_45,Отсутствие обоснования дополнительных характеристик в описании закупки,conditional_benchmarkable,object_description,conditional-salvage,bounded-salvage-or-review,needs regulatory-history workaround,PROJECT_DESIGN_v7.md §3.3-3.5; runs/20260510T180119/benchmarkability/family_status_map.csv; runs/20260510T180119/naming/cluster_catalog_coarse.csv; cluster_id=45
cluster_46,Субъективный порядок оценки качественных характеристик объекта закупки,conditional_benchmarkable,object_description,conditional-salvage,bounded-salvage-or-review,family_qc=mixed_candidate,PROJECT_DESIGN_v7.md §3.3-3.5; runs/20260510T180119/benchmarkability/family_status_map.csv; runs/20260510T180119/naming/cluster_catalog_coarse.csv; cluster_id=46
cluster_47,Необоснованное присвоение нулевых баллов по критерию производственного контроля,conditional_benchmarkable,participant_requirements_doc,conditional-salvage,bounded-salvage-or-review,needs regulatory-history workaround,PROJECT_DESIGN_v7.md §3.3-3.5; runs/20260510T180119/benchmarkability/family_status_map.csv; runs/20260510T180119/naming/cluster_catalog_coarse.csv; cluster_id=47
cluster_48,Ненадлежащее описание объекта закупки: отсутствие реквизитов и ссылки на недействующие НПА,conditional_benchmarkable,object_description,conditional-salvage,bounded-salvage-or-review,needs regulatory-history workaround,PROJECT_DESIGN_v7.md §3.3-3.5; runs/20260510T180119/benchmarkability/family_status_map.csv; runs/20260510T180119/naming/cluster_catalog_coarse.csv; cluster_id=48
cluster_49,Оспаривание оценки квалификации участника по критерию опыта работы,conditional_benchmarkable,participant_requirements_doc,conditional-salvage,bounded-salvage-or-review,runtime_doc_dependency=partial,PROJECT_DESIGN_v7.md §3.3-3.5; runs/20260510T180119/benchmarkability/family_status_map.csv; runs/20260510T180119/naming/cluster_catalog_coarse.csv; cluster_id=49
cluster_50,Неправомерное отклонение заявки по дополнительным требованиям опыта (Постановление №2571),conditional_benchmarkable,participant_requirements_doc,conditional-salvage,bounded-salvage-or-review,runtime_doc_dependency=partial; needs regulatory-history workaround,PROJECT_DESIGN_v7.md §3.3-3.5; runs/20260510T180119/benchmarkability/family_status_map.csv; runs/20260510T180119/naming/cluster_catalog_coarse.csv; cluster_id=50
cluster_51,Технические ошибки и противоречия в описании характеристик товара,service_only,object_description,service-only,service-review-only,external expert knowledge is the primary support for detection,PROJECT_DESIGN_v7.md §3.3-3.5; runs/20260510T180119/benchmarkability/family_status_map.csv; runs/20260510T180119/naming/cluster_catalog_coarse.csv; cluster_id=51
cluster_52,Неполное описание объекта закупки: отсутствие объёмов и документации,benchmarkable,object_description,benchmarkable-ready,supported-lane-allowed,,PROJECT_DESIGN_v7.md §3.3-3.5; runs/20260510T180119/benchmarkability/family_status_map.csv; runs/20260510T180119/naming/cluster_catalog_coarse.csv; cluster_id=52
cluster_53,Ненадлежащее описание объекта закупки: отсутствие характеристик товара,benchmarkable,object_description,benchmarkable-ready,supported-lane-allowed,,PROJECT_DESIGN_v7.md §3.3-3.5; runs/20260510T180119/benchmarkability/family_status_map.csv; runs/20260510T180119/naming/cluster_catalog_coarse.csv; cluster_id=53
cluster_54,Несоответствие структурированной формы извещения ЕИС и технического задания,benchmarkable,notice_content,benchmarkable-ready,supported-lane-allowed,,PROJECT_DESIGN_v7.md §3.3-3.5; runs/20260510T180119/benchmarkability/family_status_map.csv; runs/20260510T180119/naming/cluster_catalog_coarse.csv; cluster_id=54
cluster_55,Противоречие между структурированной формой извещения и файлом описания объекта закупки,benchmarkable,notice_content,benchmarkable-ready,supported-lane-allowed,,PROJECT_DESIGN_v7.md §3.3-3.5; runs/20260510T180119/benchmarkability/family_status_map.csv; runs/20260510T180119/naming/cluster_catalog_coarse.csv; cluster_id=55
